english, romaji, yomigana, kanji
Good morning. (Casual), Ohayo., おはよう。,
Good morning. (Polite), Ohayo gozaimasu., おはようございます。, 
Good afternoon or Hello., Konnichiwa., こんにちは。, 
Good evening., Konbannwa., こんばんは。,
Good night., Oyasuminasai., おやすみなさい。,
Good Bye. (Polite), Sayonara., さようなら。,
See you later. (Casual), Ja mata (atode)., じゃ、また(あとで)。,
See you tomorrow. (Casual), Mata ashita., また、あした。, 
See you next week. (Casual), Mata raishu., また、らいしゅう。, 
Excuse me or Sorry. (Polite), Sumimasen., すみません。, 
Sorry., Gomennasai., ごめんなさい。,
Hello. (on phone), Moshi moshi., もしもし。,
Thank you., Arigato., ありがとう。,
Thank you very much., Domo arigato gozaimasu., どうもありがとうございます。,
You are welcome., Do itashimashite., どういたしまして。,
Hello (For the first time you meet), Hajimemashite., はじめまして。,
It’s nice to meet you., Dozo Yoroshiku., どうぞよろしく。,
