english, romaji, yomigana, kanji
Day,Yobi,ようび,
Sunday,Nichiyobi,にちようび,
Monday,Getsuyobi,げつようび,
Tuesday,Kayobi,かようび,
Wednesday,Suiyobi,すいようび,
Thursday,Mokuyobi,もくようび,
Friday,Kinyobi,きんようび,
Saturday,Doyobi,どようび,
Month,Tsuki,つき,
January,Ichi-gatsu,いちがつ,
February,Ni-gatsu,いちがつ,
March,San-gatsu,いちがつ,
April,Shi-gatsu,いちがつ,
May,Go-gatsu,いちがつ,
June,Roku-gatsu,いちがつ,
July,Shichi-gatsu,いちがつ,
August,Hachi-gatsu,いちがつ,
September,Ku-gatsu,いちがつ,
October,Ju-gatsu,いちがつ,
November,Ju-ichi-gatsu,いちがつ,
December,Ju-ni-gatsu,いちがつ,
