english,romaji,yomigana,kanji
Hobby,Shumi,しゅみ,
Cooking,Ryori,りょうり,
Skiing,Sukiー,スキー,
Hockey,Aisu hockey,アイスホッケー,
Studying,Benkyo,べんきょう,
Marathon,Marason,マラソン,
Sports,Supotsu,スポーツ,
Sumo wrestling,Sumo,すもう,
Tennis,Tenisu,てニス,
Golf,Gurufu,ゴルフ,
Basketball,Basukettoboru,バスケットボール,
Baseball (in Japan),Yakyu,やきゅう,
Baseball (in USA),Basuboru,バスボール,
Food,Tabemono,たべもの,
Crafts,Shugei/kurafuto,しゅげい/クラフト,
Fishing,Tsuri,つり,
Swimming,Suiei,すいえい,
Karaoke,Karaoke,カラオケ,
Meats,Niku,にく,
Vegetables,Yasai,やさい,
Sakana,Fish/Seafood,さかな,
Reading,Dokusho,どくしょ,
Music,Ongaku,おんがく,
Songs,Uta,うた,
Art,Bijutsu,びじゅつ,
Movie,Eiga,えいが,

