english, romaji, yomigana, kanji
Clothes, Fuku, ふく,
Shirt, Shatsu, シャツ,
Pants, Zubon, ズボン,
Shoes, Kutsu, くつ,
Hat, Boshi, ぼうし,
Socks, Kutsushita, くつした,
Skirt, Sukato, スカート,
Dress, Wanpisu, ワンピース,
Tie, Nekutai, ネクタイ,
Suit, Sebiro, せびろ,
Belt, Beruto, ベルト,
Jeans, Jinzu, ジーンズ,
T.V., Terebi, テレビ,
Radio, Rajio, ラジオ,
Computer, Pasokon, パソコン,
Camera, Kamera, カメラ,
Table, Teburu, テーブル,
Desk, Tsukue, つくえ,
Sofa, Sofa, ソファ,
Chair, Isu, いす,
Clock, Tokei, とけい,
Watch, Udedokei, うでどけい,
Cellphone, Keitai (denwa), けいたい(でんわ),
Umbrella, Kasa, かさ,
Book, Hon, ほん, 
Pen, Pen, ペン, 
Notebook, Noto, ノート, 
Yen, Yen, えん,  
Price, Nedan, ねだん, 
Money, Okane, おかね,
